Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
A0A024R1R8;Q9Y2S6	Q9Y2S6;A0A024R1R8	TMA7B_HUMAN;TMA7_HUMAN	TMA7;TMA7B		8.37561e+06	7.87578e+06	6.86327e+06	9.26681e+06	7.09856e+06	7.62009e+06
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B		2.15687e+06	1.82459e+06	1.95327e+06	1.94479e+06	2.06833e+06	2.07019e+06
A0A024RBG1;Q9NZJ9	Q9NZJ9;A0A024RBG1	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B		4.87413e+06	4.63534e+06	5.09239e+06	4.16419e+06	5.03463e+06	4.65591e+06
A0A087WVZ6	A0A087WVZ6;H7C4X9	A0A087WVZ6_HUMAN	ZMYND8		819497	923714	1.04065e+06	659658	933500	779903
A0A087WWU8	J3KN67;A0A087WWU8	A0A087WWU8_HUMAN	TPM3		5.93902e+07	6.65228e+07	7.1698e+07	5.72441e+07	6.66274e+07	6.02976e+07
A0A087WWU8;Q5VU61	A0A087WWU8;D6R904;Q5VU61	A0A087WWU8_HUMAN;Q5VU61_HUMAN	TPM3		7.01292e+07	6.23118e+07	7.76636e+07	5.67732e+07	8.63609e+07	5.89117e+07
A0A087WY03;E5RFV3	A0A087WY03;E5RFV3	A0A087WY03_HUMAN;E5RFV3_HUMAN	SREK1		5.97267e+06	5.50558e+06	5.71626e+06	6.10118e+06	6.40692e+06	5.55605e+06
A0A087WYV9	Q9P0S2;A0A087WYV9;A0A087WX56;A0A087X1F5	A0A087WYV9_HUMAN	SYNJ2BP-COX16			549473	524980			
A0A087WZ13	A0A087WZ13;K7EQG2	A0A087WZ13_HUMAN	RAVER1		4.35222e+06	4.65029e+06	4.68265e+06	4.34144e+06	4.44751e+06	4.43328e+06
A0A087X0J2	A0A087X0J2	A0A087X0J2_HUMAN	UBXN8							37235
A0A087X0N3	A0A087X0N3;Q5W149	A0A087X0N3_HUMAN	NOL4L				96785.2		141642	176456
A0A087X1Q0	A0A087X1Q0	A0A087X1Q0_HUMAN	INTS7							
A0A087X1X7;E9PRY8	A0A087X1X7;E9PJV8;E9PN56;E9PN71;E9PPY1;E9PQR8;E9PRL0;E9PRY8;A0A8C8L741;E9PKH7;E9PNC8	A0A087X1X7_HUMAN;E9PRY8_HUMAN	EEF1D			277223				
A0A096LP01	A0A096LP01;A0A096LPB2	SIM26_HUMAN	SMIM26			69457.2	132615			
A0A096LP07;A0A096LPJ3;A8K070	A0A096LP07;A0A096LPJ3;A8K070	A0A096LP07_HUMAN;A0A096LPJ3_HUMAN;A8K070_HUMAN	GPS1		800718	796094	786018	554580	683187	1.09905e+06
A0A096LP10	A0A087WT15;A0A096LP10	A0A096LP10_HUMAN	ALG13			1.03069e+06				
A0A096LP55;P07919	P07919;A0A096LP55	QCR6L_HUMAN;QCR6_HUMAN	UQCRH;UQCRHL							
A0A0A0MQS2;F5H0Q6	A0A0A0MQS2;F5H0Q6;K7EM61	A0A0A0MQS2_HUMAN;F5H0Q6_HUMAN	CLASRP		154456	391219	241282	139330	389706	312819
A0A0A0MQU0	A0A0A0MQU0	A0A0A0MQU0_HUMAN	WDR18			531166	1.20445e+06			815410
A0A0A0MR08;A0A8I5KXK1	A0A0A0MR08;A0A8I5KXK1	A0A0A0MR08_HUMAN;A0A8I5KXK1_HUMAN	USP19		397334	416379	511513	182731	499127	467391
A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0	A0A0C4DFM0;G3V267;G3V4T6;G3V5T0;A0A0A0MR33	A0A0A0MR33_HUMAN;A0A0C4DFM0_HUMAN;G3V267_HUMAN;G3V4T6_HUMAN;G3V5T0_HUMAN	GSTZ1			391679			305881	
A0A0A0MRM8;A0A1Y0BRN3	A0A0A0MRM8;A0A1Y0BRN3	A0A0A0MRM8_HUMAN;A0A1Y0BRN3_HUMAN	MYO6				195483		314612	272533
A0A0A0MRM9	A0A0A0MRM9	A0A0A0MRM9_HUMAN	NOLC1		1.82916e+06		2.49478e+06		1.6226e+06	1.9245e+06
A0A0A0MRU9;A0A7I2V3R3;A0A7I2YQR3;E7ETY4;E9PC69	E7ETY4;E9PC69;A0A0A0MRU9;A0A7I2YQR3;A0A7I2V3R3	A0A0A0MRU9_HUMAN;A0A7I2V3R3_HUMAN;A0A7I2YQR3_HUMAN;E7ETY4_HUMAN;E9PC69_HUMAN	MARK2		966140		581838			
A0A0A0MS29	A0A0A0MS29;H7C433;E9PQX8	A0A0A0MS29_HUMAN	MFF				152461		180565	55541.8
A0A0A6YYL4	P57737;A0A0A6YYL4	A0A0A6YYL4_HUMAN	PAM16		5.12104e+06	4.85125e+06	4.9978e+06	5.42009e+06	4.92474e+06	5.12505e+06
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2;H7C1F6;H7C2G3	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B		6.61319e+06	7.18408e+06	7.22768e+06	5.79349e+06	7.21978e+06	7.22907e+06
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1		252966		780122			645245
A0A0C4DFT3;A0A590UJ08;A0A590UJD9	A0A0C4DFT3;A0A590UJ08;A0A590UJD9	A0A0C4DFT3_HUMAN;A0A590UJ08_HUMAN;A0A590UJD9_HUMAN	DLG1						36894.1	28735.4
A0A0C4DFV9	A0A0C4DFV9	A0A0C4DFV9_HUMAN	SET					360272		
A0A0C4DG68	A0A0C4DG68	A0A0C4DG68_HUMAN	PUM2				405010		465839	
A0A0C4DG89	A0A0C4DG89	A0A0C4DG89_HUMAN	DDX46		723962		1.09505e+06	261858	891572	682038
A0A0D9SFD0;A0A0D9SFV9;A0A0R4J2G5;A0A1B0GV32	A0A0D9SFD0;A0A0R4J2G5;A0A1B0GV32;A0A0D9SFV9	A0A0D9SFD0_HUMAN;A0A0D9SFV9_HUMAN;A0A0R4J2G5_HUMAN;A0A1B0GV32_HUMAN	MEF2C		182969		539111			
A0A0G2JIR1;A0A0G2JIS2;A0A0G2JRR0;A2ABF8	A0A0G2JIR1;A0A0G2JIS2;A0A0G2JRR0;A2ABF8	A0A0G2JIR1_HUMAN;A0A0G2JIS2_HUMAN;A0A0G2JRR0_HUMAN;A2ABF8_HUMAN	EHMT2		127741	206362	268376		228857	211769
A0A0G2JJL1;A0A140T9L0	A0A0G2JJL1;A0A140T9L0	A0A0G2JJL1_HUMAN;A0A140T9L0_HUMAN	WDR46			335936	225598		387055	
A0A0G2JLS1	A0A0G2JLS1	A0A0G2JLS1_HUMAN	LRRC56							
A0A0G2JLS4;A0A0G2JN35;A0A0G2JNM2;A0A0G2JP64;A0A0G2JP96;A0A0G2JPH5;A0A0G2JQ15;A0A0G2JQ48;F6TER3	A0A0G2JLS4;A0A0G2JN35;A0A0G2JNM2;A0A0G2JP64;A0A0G2JP96;A0A0G2JPH5;A0A0G2JQ15;A0A0G2JQ48;F6TER3	A0A0G2JLS4_HUMAN;A0A0G2JN35_HUMAN;A0A0G2JNM2_HUMAN;A0A0G2JP64_HUMAN;A0A0G2JP96_HUMAN;A0A0G2JPH5_HUMAN;A0A0G2JQ15_HUMAN;A0A0G2JQ48_HUMAN;F6TER3_HUMAN	LILRA1;LILRB1;LILRB2							
A0A0J9YVP6;A0A0J9YVR6;A0A0J9YYL3;E9PMU7;E9PN18;E9PQ56	A0A0J9YVP6;A0A0J9YYL3;E9PQ56;A0A0J9YVR6;E9PMU7;E9PN18	A0A0J9YVP6_HUMAN;A0A0J9YVR6_HUMAN;A0A0J9YYL3_HUMAN;E9PMU7_HUMAN;E9PN18_HUMAN;E9PQ56_HUMAN	PUF60		795695		1.36243e+06	190761	1.11239e+06	995610
A0A0M3HER2	A0A0M3HER2	A0A0M3HER2_HUMAN	CENPV		1.26528e+06	1.27856e+06	1.37181e+06	829381	1.51097e+06	1.2465e+06
A0A0S2Z377;E5RK69	A0A0S2Z377;E5RK69	A0A0S2Z377_HUMAN;E5RK69_HUMAN	ANXA6							
A0A0U1RQI5	A0A0U1RQI5	A0A0U1RQI5_HUMAN	SORBS1			94734	80599.6		68874.7	97798
A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92	A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92	A0A0U1RQK7_HUMAN;A0A8I5KT99_HUMAN;A0A8I5KV92_HUMAN	EIF4G3		255458	206557	321109	168012	345436	350280
A0A0U1RQL9;A0A0U1RQN3;B3KNS4	A0A0U1RQL9;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQV1;B3KNS4	A0A0U1RQL9_HUMAN;A0A0U1RQN3_HUMAN;B3KNS4_HUMAN	ERVK3-1		2.58465e+06	8.18186e+06	3.60544e+06	862138	2.40952e+06	3.09063e+06
A0A0U1RR11;A0A0U1RRI6;P0DPI3	A0A0U1RR11;A0A0U1RRI6;P0DPI3	CENL1_HUMAN;CENL2_HUMAN;CENL3_HUMAN	CENPVL1;CENPVL2;CENPVL3							
