"MSMS Spectrum Info Workflow ID"	"MSMS Spectrum Info Spectrum ID"	"Checked"	"Tags"	"Search ID"	"Creator Node No"	"File ID"	"RT in min"	"First Scan"	"Last Scan"	"Master Scans"	"Number of Master Scans"	"Scans"	"Number of Scans"	"Mass Analyzer"	"Activation Type"	"MS Order"	"Comp Voltage in V"	"Number of PSMs"	"Number of Peptide Groups"	"Isolation Interference in Percent"	"Ion Inject Time in ms"	"Number of Precursors"	"Number of Identified Precursors"	"Precursor mz in Da"	"Precursor MHplus in Da"	"Original Mass"	"Precursor Charge"	"Original Precursor Charge"	"Precursor Intensity"	"Spectrum File"
"-383"	"1"	"False"	""	"A"	"1"	"F12"	"0.0809"	"3"	"3"	"1"	"1"	"3"	"1"	"IonTrap"	"CID"	"MS2"	"-40.0"	"0"	"0"	"0"	"35.000"	"1"	"0"	"401.71304"	"802.41881"	"401.71304"	"2"	"2"	"889128.1875"	"Fig2_m23139_RTS.raw"
"-383"	"2"	"False"	""	"A"	"1"	"F12"	"0.0823"	"4"	"4"	"1"	"1"	"4"	"1"	"IonTrap"	"CID"	"MS2"	"-40.0"	"0"	"0"	"9.482559"	"35.000"	"1"	"0"	"379.21164"	"757.41600"	"379.21164"	"2"	"2"	"375806.3125"	"Fig2_m23139_RTS.raw"
"-383"	"3"	"False"	""	"A"	"1"	"F12"	"0.0831"	"5"	"5"	"1"	"1"	"5"	"1"	"IonTrap"	"CID"	"MS2"	"-40.0"	"0"	"0"	"11.9957"	"35.000"	"1"	"0"	"385.22522"	"769.44316"	"385.22522"	"2"	"2"	"144783.3125"	"Fig2_m23139_RTS.raw"
"-383"	"4"	"False"	""	"A"	"1"	"F12"	"0.0838"	"6"	"6"	"1"	"1"	"6"	"1"	"IonTrap"	"CID"	"MS2"	"-40.0"	"0"	"0"	"15.28893"	"35.000"	"1"	"0"	"411.73505"	"822.46282"	"411.73505"	"2"	"2"	"33158.46484375"	"Fig2_m23139_RTS.raw"
"-383"	"5"	"False"	""	"A"	"1"	"F12"	"0.0845"	"7"	"7"	"1"	"1"	"7"	"1"	"IonTrap"	"CID"	"MS2"	"-40.0"	"0"	"0"	"0"	"35.000"	"1"	"0"	"498.75696"	"996.50664"	"498.75696"	"2"	"2"	"14401.154296875"	"Fig2_m23139_RTS.raw"
"-383"	"6"	"False"	""	"A"	"1"	"F12"	"0.0853"	"8"	"8"	"1"	"1"	"8"	"1"	"IonTrap"	"CID"	"MS2"	"-40.0"	"0"	"0"	"0"	"35.000"	"1"	"0"	"446.76172"	"892.51616"	"446.76172"	"2"	"2"	"10982.375"	"Fig2_m23139_RTS.raw"
"-383"	"7"	"False"	""	"A"	"1"	"F12"	"0.0905"	"10"	"10"	"2"	"1"	"10"	"1"	"IonTrap"	"CID"	"MS2"	"-60.0"	"0"	"0"	"3.521046"	"35.000"	"1"	"0"	"380.52936"	"1139.57352"	"380.52936"	"3"	"3"	"542592.5"	"Fig2_m23139_RTS.raw"
"-383"	"8"	"False"	""	"A"	"1"	"F12"	"0.0919"	"11"	"11"	"2"	"1"	"11"	"1"	"IonTrap"	"CID"	"MS2"	"-60.0"	"0"	"0"	"0"	"35.000"	"1"	"0"	"532.29303"	"1063.57878"	"532.29303"	"2"	"2"	"94272.03125"	"Fig2_m23139_RTS.raw"
"-383"	"9"	"False"	""	"A"	"1"	"F12"	"0.0926"	"12"	"12"	"2"	"1"	"12"	"1"	"IonTrap"	"CID"	"MS2"	"-60.0"	"0"	"0"	"0"	"35.000"	"1"	"0"	"475.29541"	"949.58354"	"475.29541"	"2"	"2"	"71495.03125"	"Fig2_m23139_RTS.raw"
"-383"	"10"	"False"	""	"A"	"1"	"F12"	"0.0934"	"13"	"13"	"2"	"1"	"13"	"1"	"IonTrap"	"CID"	"MS2"	"-60.0"	"0"	"0"	"2.666526"	"35.000"	"1"	"0"	"524.31940"	"1047.63152"	"524.31940"	"2"	"2"	"59074.328125"	"Fig2_m23139_RTS.raw"
