"Quan Spectra Workflow ID"	"Quan Spectra Spectrum ID"	"Checked"	"Tags"	"Search ID"	"Creator Node No"	"File ID"	"RT in min"	"First Scan"	"Last Scan"	"Master Scans"	"Number of Master Scans"	"Scans"	"Number of Scans"	"Mass Analyzer"	"Activation Type"	"NCE in Percent"	"MS Order"	"Comp Voltage in V"	"SPS Masses in Da"	"Number of PSMs"	"Isolation Interference in Percent"	"Average Reporter SN"	"Ion Inject Time in ms"	"Precursor mz in Da"	"Precursor MHplus in Da"	"Original Mass"	"Precursor Charge"	"Original Precursor Charge"	"Precursor Intensity"	"Spectrum File"	"Abundances Normalized 126"	"Abundances Normalized 127N"	"Abundances Normalized 127C"	"Abundances Normalized 128N"	"Abundances Normalized 128C"	"Abundances Normalized 129N"	"Abundances Normalized 129C"	"Abundances Normalized 130N"	"Abundances Normalized 130C"	"Abundances Normalized 131N"	"Abundances Normalized 131C"	"Abundances Normalized 132N"	"Abundances Normalized 132C"	"Abundances Normalized 133N"	"Abundances Normalized 133C"	"Abundances Normalized 134N"	"Abundance 126"	"Abundance 127N"	"Abundance 127C"	"Abundance 128N"	"Abundance 128C"	"Abundance 129N"	"Abundance 129C"	"Abundance 130N"	"Abundance 130C"	"Abundance 131N"	"Abundance 131C"	"Abundance 132N"	"Abundance 132C"	"Abundance 133N"	"Abundance 133C"	"Abundance 134N"	"Quan Info"	"Quan Info Details"
"-383"	"17613"	"False"	""	"A"	"4"	"F12"	"0.0995"	"20"	"20"	"2"	"1"	"20"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-60.0"	"468.16;583.21;771.25"	"0"	"3.521046"	"9.9"	"86.000"	"380.52936"	"1139.57352"	"380.52936"	"3"	"3"	"542592.5"	"Fig2_m23139_RTS.raw"	"14.4"	"10.4"	"10.1"	"10.9"	"10.3"	"11.7"	"7.0"	"14.4"	"10.5"	"9.7"	"10.3"	"12.4"	"6.3"	"10.7"	"9.6"	"15.2"	"12.7"	"8.9"	"9.9"	"10.8"	"10.1"	"10.8"	"6.9"	"13.2"	"10.5"	"7.8"	"9.6"	"11.2"	"6.1"	"9.6"	"7.9"	"12.4"	"RejectedByMethod"	"FilteredByAverageSignalToNoise"
"-383"	"17614"	"False"	""	"A"	"4"	"F12"	"1.1338"	"253"	"253"	"236"	"1"	"253"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-60.0"	"468.15;583.09;670.15"	"0"	"3.110581"	"9.6"	"86.000"	"380.52951"	"1139.57398"	"380.52951"	"3"	"3"	"347881.71875"	"Fig2_m23139_RTS.raw"	"11.4"	"11.7"	"13.6"	"9.9"	"10.7"	"8.8"	"8.3"	"8.3"	"9.6"	"10.3"	"11.6"	"9.8"	"11.9"	"10.5"	"12.0"	"8.7"	"10.1"	"10.0"	"13.4"	"9.8"	"10.5"	"8.2"	"8.2"	"7.6"	"9.6"	"8.3"	"10.8"	"8.8"	"11.5"	"9.4"	"9.9"	"7.1"	"RejectedByMethod"	"FilteredByAverageSignalToNoise"
"-383"	"17615"	"False"	""	"A"	"4"	"F12"	"1.1739"	"271"	"271"	"259"	"1"	"271"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-80.0"	"442.33;612.49"	"0"	"0"	"0.0"	"86.000"	"580.81909"	"1160.63091"	"580.81909"	"2"	"2"	"7901.60205078125"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
"-383"	"17616"	"False"	""	"A"	"4"	"F12"	"2.1472"	"495"	"495"	"480"	"1"	"495"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-60.0"	"618.16;747.21;818.26;889.09"	"0"	"0.8274535"	"0.0"	"86.000"	"532.29419"	"1063.58110"	"532.29419"	"2"	"2"	"286433.1875"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
"-383"	"17617"	"False"	""	"A"	"4"	"F12"	"2.1524"	"497"	"497"	"480"	"1"	"497"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-60.0"	"468.09;583.17"	"0"	"3.320458"	"28.1"	"86.000"	"380.53058"	"1139.57718"	"380.53058"	"3"	"3"	"2327048.5"	"Fig2_m23139_RTS.raw"	"28.4"	"28.0"	"35.4"	"30.0"	"28.0"	"33.6"	"28.7"	"33.9"	"27.3"	"33.1"	"36.5"	"35.8"	"25.8"	"27.2"	"29.6"	"28.7"	"25.1"	"24.0"	"34.8"	"29.7"	"27.5"	"31.1"	"28.4"	"31.1"	"27.3"	"26.7"	"34.0"	"32.3"	"24.9"	"24.3"	"24.4"	"23.4"	""	""
"-383"	"17618"	"False"	""	"A"	"4"	"F12"	"2.1840"	"514"	"514"	"499"	"1"	"514"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-60.0"	"589.06;819.18;947.6"	"0"	"0"	"0.0"	"86.000"	"697.83942"	"1394.67156"	"697.83942"	"2"	"2"	"53634.703125"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
"-383"	"17619"	"False"	""	"A"	"4"	"F12"	"2.2044"	"523"	"523"	"509"	"1"	"523"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-40.0"	"406.15;693.43"	"0"	"0"	"0.0"	"86.000"	"505.28333"	"1009.55937"	"505.28333"	"2"	"2"	"13569.97265625"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
"-383"	"17620"	"False"	""	"A"	"4"	"F12"	"2.4760"	"625"	"625"	"612"	"1"	"625"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-60.0"	""	"0"	"29.02455"	"0.0"	"86.000"	"553.79108"	"1106.57488"	"553.79108"	"2"	"2"	"22624.13671875"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
"-383"	"17621"	"False"	""	"A"	"4"	"F12"	"2.5132"	"633"	"633"	"627"	"1"	"633"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-80.0"	""	"0"	"0"	"0.0"	"86.000"	"534.77356"	"1068.53984"	"534.77356"	"2"	"2"	"25040.6484375"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
"-383"	"17622"	"False"	""	"A"	"4"	"F12"	"2.7218"	"671"	"671"	"664"	"1"	"671"	"1"	"FourierTransform"	"HCD"	"45.0"	"MS3"	"-40.0"	""	"0"	"54.72733"	"0.0"	"86.000"	"519.93097"	"1557.77835"	"519.93097"	"3"	"3"	"5421.32421875"	"Fig2_m23139_RTS.raw"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"NoQuanValues"	""
