Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Adnp_IP04 Spectral Count	Adnp_IP05 Spectral Count	Adnp_IP06 Spectral Count	Chd4BF_IP07 Spectral Count	Chd4BF_IP08 Spectral Count	Chd4BF_IP09 Spectral Count	RBC_ctrl_IP01 Spectral Count	RBC_ctrl_IP02 Spectral Count	RBC_ctrl_IP03 Spectral Count	Adnp_IP04 Unique Spectral Count	Adnp_IP05 Unique Spectral Count	Adnp_IP06 Unique Spectral Count	Chd4BF_IP07 Unique Spectral Count	Chd4BF_IP08 Unique Spectral Count	Chd4BF_IP09 Unique Spectral Count	RBC_ctrl_IP01 Unique Spectral Count	RBC_ctrl_IP02 Unique Spectral Count	RBC_ctrl_IP03 Unique Spectral Count	Adnp_IP04 Total Spectral Count	Adnp_IP05 Total Spectral Count	Adnp_IP06 Total Spectral Count	Chd4BF_IP07 Total Spectral Count	Chd4BF_IP08 Total Spectral Count	Chd4BF_IP09 Total Spectral Count	RBC_ctrl_IP01 Total Spectral Count	RBC_ctrl_IP02 Total Spectral Count	RBC_ctrl_IP03 Total Spectral Count	Adnp_IP04 Intensity	Adnp_IP05 Intensity	Adnp_IP06 Intensity	Chd4BF_IP07 Intensity	Chd4BF_IP08 Intensity	Chd4BF_IP09 Intensity	RBC_ctrl_IP01 Intensity	RBC_ctrl_IP02 Intensity	RBC_ctrl_IP03 Intensity	Adnp_IP04 MaxLFQ Intensity	Adnp_IP05 MaxLFQ Intensity	Adnp_IP06 MaxLFQ Intensity	Chd4BF_IP07 MaxLFQ Intensity	Chd4BF_IP08 MaxLFQ Intensity	Chd4BF_IP09 MaxLFQ Intensity	RBC_ctrl_IP01 MaxLFQ Intensity	RBC_ctrl_IP02 MaxLFQ Intensity	RBC_ctrl_IP03 MaxLFQ Intensity	Indistinguishable Proteins
contam_A2I7N1	contam_A2I7N1 TREMBL:A2I7N1 (Bos taurus) SERPINA3-5	contam_A2I7N1 TREMBL:A2I7N1 (Bos taurus) SERPINA3-5		411			TREMBL:A2I7N1	0.9998	0.9989	2	9	0	9	2	0	1	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	1	2	1	0.0	0.0	1.0330837E7	1.0291304E7	0.0	5474722.0	1.0649153E7	1.2364419E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	contam_Q9TTE1
contam_ENSEMBL:ENSBTAP00000018229	contam_ENSEMBL:ENSBTAP00000018229 (Bos taurus) 54 kDa protein	contam_ENSEMBL:ENSBTAP00000018229 (Bos taurus) 54 kDa protein		475			(Bos	1.0	0.999	11	207	22	207	23	19	24	26	22	18	27	24	24	2	2	4	2	1	2	4	3	2	23	19	24	26	22	18	27	24	24	3.16108096E8	4.46925056E8	3.63987776E8	4.59529472E8	4.42807328E8	3.50066176E8	3.16534176E8	4.14386976E8	3.20589568E8	1.53563376E8	1.88459696E8	1.68655648E8	2.1643992E8	2.0011952E8	1.76452336E8	1.43476576E8	1.85793264E8	1.60559712E8	
contam_ENSEMBL:ENSBTAP00000031900	contam_ENSEMBL:ENSBTAP00000031900 (Bos taurus) 121 kDa protein	contam_ENSEMBL:ENSBTAP00000031900 (Bos taurus) 121 kDa protein		1064			(Bos	1.0	0.999	45	1184	1150	1184	126	147	138	134	133	119	130	148	109	122	143	132	133	128	117	126	143	106	126	147	138	134	133	119	130	148	109	1.20968742E9	1.94719501E9	1.52052032E9	2.11464192E9	1.93248538E9	1.35595085E9	1.2302528E9	1.51830707E9	8.884713E8	5.02794912E8	7.0550317E8	5.9648288E8	7.7562323E8	7.394471E8	5.9420218E8	4.86593408E8	6.4116339E8	5.12654272E8	
contam_P01966	contam_P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha	contam_P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha		142			SWISS-PROT:P01966	1.0	0.999	3	18	18	18	1	1	0	3	6	6	0	0	1	1	1	0	3	6	6	0	0	1	1	1	0	3	6	6	0	0	1	0.0	1.9178798E7	0.0	9.7141872E7	1.01232992E8	1.43608576E8	0.0	0.0	0.0	0.0	0.0	0.0	4.0306652E7	4.360658E7	5.9906592E7	0.0	0.0	0.0	
contam_P02533	contam_P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14	contam_P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14		472			SWISS-PROT:P02533	1.0	0.999	32	436	91	719	58	51	39	37	41	52	64	42	52	12	8	8	7	8	11	14	11	12	88	97	68	69	66	84	91	70	86	5.9609549E8	5.4613491E8	3.79024768E8	2.77910272E8	5.6745856E8	5.28362304E8	5.8004109E8	3.33975232E8	7.4336416E8	3.54182656E8	2.96098848E8	1.81743776E8	1.72831984E8	2.98333536E8	3.08796736E8	3.55662336E8	2.04942544E8	3.57427136E8	
contam_P02535-1	contam_P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10	contam_P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10		570			SWISS-PROT:P02535-1	1.0	0.999	14	16	0	512	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	49	92	54	53	39	48	55	45	77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.132354E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P02535-2|K1C10_MOUSE, sp|P02535-3|K1C10_MOUSE, sp|P02535|K1C10_MOUSE, tr|A2A513|A2A513_MOUSE
contam_P02538	contam_P02538 SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytoskeletal 6A	contam_P02538 SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytoskeletal 6A		564			SWISS-PROT:P02538	1.0	0.999	36	137	8	785	30	9	13	5	25	15	24	12	4	1	1	0	0	2	1	3	0	0	92	123	72	64	68	85	98	77	106	2.92627232E8	6.7509056E7	7.7343416E7	4.88072E7	1.59450912E8	1.4048048E8	1.81528944E8	9.2300776E7	8.2580456E7	1.37018048E8	3.3985812E7	3.2801918E7	2.3899164E7	8.5643968E7	7.1929392E7	7.6361448E7	4.350996E7	3.834116E7	
contam_P02662	contam_P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	contam_P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).		199			SWISS-PROT:P02662	0.7785	0.9986	1	8	8	8	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	0	0	1.6809726E7	1.0087656E7	1.7912596E7	2.0877572E7	1.456903E7	2.4823584E7	1.8027498E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_P02768-1	contam_P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor	contam_P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor		609			SWISS-PROT:P02768-1	1.0	0.999	10	9	9	631	0	0	0	3	1	0	0	0	5	0	0	0	3	1	0	0	0	5	68	77	70	72	69	57	74	72	72	0.0	0.0	0.0	5.5120816E7	9417682.0	0.0	0.0	0.0	8.6989096E7	0.0	0.0	0.0	5.5120816E7	0.0	0.0	0.0	0.0	5.115916E7	
contam_P02769	contam_P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	contam_P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor		607			SWISS-PROT:P02769	1.0	0.999	55	4309	3337	4309	461	496	504	519	479	409	438	536	467	356	383	400	398	364	321	335	417	363	461	496	504	519	479	409	438	536	467	8.8266842E10	1.06703225E11	9.5694242E10	1.22558013E11	1.23781095E11	9.5924175E10	8.528955E10	1.09031653E11	6.7202806E10	4.920721E10	5.8077495E10	5.495681E10	6.768266E10	6.5530155E10	4.882842E10	4.571118E10	5.8881884E10	4.4901204E10	
contam_P04259	contam_P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B	contam_P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B		564			SWISS-PROT:P04259	1.0	0.999	36	20	5	799	5	2	1	0	3	2	4	3	0	2	0	0	0	1	0	1	1	0	92	125	72	66	68	90	99	80	107	1.37082688E8	1.794802E7	3.7356624E7	0.0	5.3135944E7	6.0173188E7	5.6983656E7	3.2282236E7	0.0	1.09272136E8	0.0	0.0	0.0	3.9737312E7	0.0	3.9771768E7	2.1676586E7	0.0	
contam_P04264	contam_P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	contam_P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1		644			SWISS-PROT:P04264	1.0	0.999	65	3899	2881	4009	441	483	407	352	343	501	460	414	498	322	357	309	259	247	388	341	305	353	456	498	417	361	352	512	473	427	513	1.26647235E10	2.62248305E10	1.31321539E10	1.26153697E10	1.1220738E10	2.09346806E10	1.21806316E10	1.17550817E10	2.78235259E10	7.3274798E9	8.3486234E9	5.6320881E9	5.202453E9	5.8955049E9	7.781335E9	6.5790188E9	5.9252562E9	8.0447345E9	
contam_P05784	contam_P05784 SWISS-PROT:P05784 Tax_Id=10090 Gene_Symbol=Krt18 Keratin, type I cytoskeletal 18	contam_P05784 SWISS-PROT:P05784 Tax_Id=10090 Gene_Symbol=Krt18 Keratin, type I cytoskeletal 18		423			SWISS-PROT:P05784	1.0	0.999	22	70	0	161	2	32	1	6	6	19	2	1	1	0	0	0	0	0	0	0	0	0	14	45	9	16	16	28	10	11	12	0.0	1.0793416E8	0.0	1.866111E7	2.372181E7	6.350004E7	2160090.0	6378287.5	0.0	0.0	8.0704744E7	0.0	2.6915384E7	1.7442832E7	4.937692E7	0.0	0.0	0.0	sp|P05784|K1C18_MOUSE
contam_P07477	contam_P07477 SWISS-PROT:P07477 Tax_Id=9606 Gene_Symbol=PRSS1 Trypsin-1 precursor	contam_P07477 SWISS-PROT:P07477 Tax_Id=9606 Gene_Symbol=PRSS1 Trypsin-1 precursor		247			SWISS-PROT:P07477	1.0	0.9989	2	94	0	94	12	8	9	16	6	14	13	9	7	0	0	0	0	0	0	0	0	0	12	8	9	16	6	14	13	9	7	4.10302669E9	3.58749389E9	4.6396201E9	3.26551142E9	3.92641024E9	3.73417574E9	3.56760115E9	3.62559206E9	2.34211635E9	2.65886464E9	2.4563456E9	2.73910477E9	1.99588122E9	2.29123814E9	2.01987418E9	2.58215245E9	1.49961242E9	4.21801318E9	
contam_P08779	contam_P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16	contam_P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16		473			SWISS-PROT:P08779	1.0	0.999	36	195	149	609	53	16	18	5	33	19	28	15	8	42	12	12	3	24	14	24	12	6	102	78	60	48	72	67	72	55	55	3.40764544E8	1.1035736E8	1.3616672E8	5.8892688E7	2.89003456E8	2.01355248E8	2.06967696E8	9.3487952E7	9.3435648E7	2.48407472E8	7.869896E7	8.6854216E7	4.4630176E7	1.96337392E8	1.20784704E8	1.23295632E8	6.9544376E7	6.1958388E7	
contam_P12763	contam_P12763 SWISS-PROT:P12763 (Bos taurus) Alpha-2-HS-glycoprotein precursor	contam_P12763 SWISS-PROT:P12763 (Bos taurus) Alpha-2-HS-glycoprotein precursor		359			SWISS-PROT:P12763	0.8271	0.999	1	13	13	13	2	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	1	6906104.5	7600483.5	3857926.8	6347797.5	5108858.0	9282168.0	3831394.2	5047309.0	8535031.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_P13645	contam_P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	contam_P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10		593			SWISS-PROT:P13645	1.0	0.999	56	3252	2575	3288	298	681	332	288	227	345	333	297	451	233	559	259	214	175	275	260	236	364	302	688	334	292	232	349	335	301	455	7.7898476E9	3.5123311E10	9.7136609E9	9.6867185E9	6.2912108E9	1.23912622E10	7.5227254E9	7.5908869E9	2.29793587E10	4.7838428E9	1.32128481E10	5.4745969E9	4.9595151E9	3.75989581E9	5.6161715E9	4.8421268E9	4.4718607E9	6.4832594E9	
contam_P13647	contam_P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5	contam_P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5		590			SWISS-PROT:P13647	1.0	0.999	44	549	155	982	54	71	58	52	45	80	66	59	64	15	21	14	14	9	21	16	19	26	93	151	94	89	74	121	117	103	140	8.5793363E8	1.95854259E9	8.28832E8	7.3944378E8	7.1530022E8	1.11252582E9	8.3974221E8	7.4245357E8	1.97337894E9	3.79341888E8	5.0729792E8	3.06326688E8	2.874696E8	3.10533344E8	5.11272384E8	3.85016416E8	3.36514176E8	6.1965939E8	
contam_P19001	contam_P19001 SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19	contam_P19001 SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19		403			SWISS-PROT:P19001	1.0	0.999	13	9	0	187	0	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	32	19	19	19	22	17	18	19	0.0	1.0282079E7	0.0	1.1659875E7	0.0	1821943.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P19001|K1C19_MOUSE
contam_P19013	contam_P19013 SWISS-PROT:P19013 Tax_Id=9606 Gene_Symbol=KRT4 keratin 4	contam_P19013 SWISS-PROT:P19013 Tax_Id=9606 Gene_Symbol=KRT4 keratin 4		594			SWISS-PROT:P19013	0.9973	0.999	5	3	0	262	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	43	24	26	22	24	32	19	41	4.6959832E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_P20930	contam_P20930 SWISS-PROT:P20930 Tax_Id=9606 Gene_Symbol=FLG Filaggrin	contam_P20930 SWISS-PROT:P20930 Tax_Id=9606 Gene_Symbol=FLG Filaggrin		4061			SWISS-PROT:P20930	0.8302	0.999	1	9	9	9	1	1	2	0	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	2	0	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_P35527	contam_P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9	contam_P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9		623			SWISS-PROT:P35527	1.0	0.999	58	3949	3913	3949	491	354	365	315	337	513	510	458	606	487	347	363	311	332	509	508	454	602	491	354	365	315	337	513	510	458	606	5.3377966E9	3.94713293E9	3.69037952E9	3.2353705E9	4.26041856E9	5.8043208E9	5.3028644E9	4.7598572E9	7.8735319E9	2.13108442E9	1.56643494E9	1.5814217E9	1.45476122E9	1.57678771E9	2.81300736E9	1.9088224E9	1.80762317E9	3.31723034E9	
contam_P35908	contam_P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	contam_P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal		645			SWISS-PROT:P35908	1.0	0.999	78	25	25	4773	1	4	2	4	2	5	4	3	0	1	4	2	4	2	5	4	3	0	346	1236	409	331	243	412	402	347	1047	8082393.5	6.5431476E7	7117982.0	6.9726856E7	0.0	1.05213728E8	7.7386608E7	5.104988E7	0.0	0.0	4.4348416E7	0.0	5.3224052E7	0.0	7.9164064E7	5.44327E7	0.0	0.0	
contam_P35908v2	contam_P35908v2 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	contam_P35908v2 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal		639			SWISS-PROT:P35908	1.0	0.999	78	5110	377	5125	357	1410	431	342	252	426	414	356	1122	13	182	24	15	11	19	19	13	81	358	1414	431	342	252	426	417	357	1128	7.017172E9	3.23752509E10	6.2957901E9	7.0757627E9	5.2471506E9	8.3152589E9	6.725503E9	5.6511811E9	1.78383421E10	3.19384192E9	1.27951555E10	2.96823322E9	3.0789737E9	2.11187738E9	3.97078195E9	3.46546867E9	2.86836019E9	8.159958E9	
contam_Q04695	contam_Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17	contam_Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17		432			SWISS-PROT:Q04695	1.0	0.999	23	83	22	363	18	8	5	8	14	9	9	7	5	4	3	1	3	5	2	2	1	1	52	49	33	38	44	40	36	34	37	1.05444064E8	9.308956E7	5.1901824E7	5.303072E7	8.0355808E7	9.330216E7	9.5627272E7	4.6937896E7	6.3124888E7	5.1468116E7	4.987424E7	2.6495538E7	2.9587108E7	7.0691112E7	4.8418588E7	4.8058276E7	2.3652676E7	3.6271284E7	
contam_Q14525	contam_Q14525 SWISS-PROT:Q14525 Keratin, type I cuticular HA3-II (Hair keratin, type I HA3-II)	contam_Q14525 SWISS-PROT:Q14525 Keratin, type I cuticular HA3-II (Hair keratin, type I HA3-II)		404			SWISS-PROT:Q14525	1.0	0.9984	5	3	1	59	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	9	6	6	6	5	8	6	6	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_Q3SX09	contam_Q3SX09 TREMBL:Q3SX09 (Bos taurus) similar to HBG protein	contam_Q3SX09 TREMBL:Q3SX09 (Bos taurus) similar to HBG protein		201			TREMBL:Q3SX09	1.0	0.999	7	62	35	62	9	12	2	13	13	11	1	1	0	5	7	1	8	7	6	0	1	0	9	12	2	13	13	11	1	1	0	4.908004E7	1.04961952E8	1.9398324E7	1.38014864E8	1.3329504E8	1.47045872E8	7161652.0	5729232.0	0.0	4.532604E7	5.4934828E7	1.2024198E7	6.6259496E7	7.5115512E7	6.95342E7	0.0	0.0	0.0	
contam_Q3SZR3	contam_Q3SZR3 SWISS-PROT:Q3SZR3 (Bos taurus) Alpha-1-acid glycoprotein precursor	contam_Q3SZR3 SWISS-PROT:Q3SZR3 (Bos taurus) Alpha-1-acid glycoprotein precursor		202			SWISS-PROT:Q3SZR3	1.0	0.998	2	3	3	3	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3.4597316E7	0.0	0.0	0.0	0.0	0.0	3.2239594E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_Q5D862	contam_Q5D862 SWISS-PROT:Q5D862 Tax_Id=9606 Gene_Symbol=FLG2 Filaggrin-2	contam_Q5D862 SWISS-PROT:Q5D862 Tax_Id=9606 Gene_Symbol=FLG2 Filaggrin-2		2391			SWISS-PROT:Q5D862	1.0	0.999	26	285	276	285	28	57	31	25	18	43	23	22	38	27	54	31	25	18	41	22	21	37	28	57	31	25	18	43	23	22	38	1.30121064E8	3.32742176E8	1.29611824E8	1.2981856E8	6.0618132E7	2.02677184E8	1.04369488E8	1.06913088E8	2.44704288E8	8.1629048E7	1.3562456E8	7.4786432E7	6.7891256E7	3.2310504E7	1.50228816E8	6.7970248E7	7.6431528E7	2.171776E8	
contam_Q6IFZ6	contam_Q6IFZ6 SWISS-PROT:Q6IFZ6 Tax_Id=10090 Gene_Symbol=Krt77 Keratin, type II cytoskeletal 1b	contam_Q6IFZ6 SWISS-PROT:Q6IFZ6 Tax_Id=10090 Gene_Symbol=Krt77 Keratin, type II cytoskeletal 1b		572			SWISS-PROT:Q6IFZ6	1.0	0.9986	12	7	0	309	1	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	34	47	27	27	20	38	40	32	44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q6IFZ6|K2C1B_MOUSE
