Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Adnp_IP04	Peptides Adnp_IP05	Peptides Adnp_IP06	Peptides Chd4BF_IP07	Peptides Chd4BF_IP08	Peptides Chd4BF_IP09	Peptides RBC_ctrl_IP01	Peptides RBC_ctrl_IP02	Peptides RBC_ctrl_IP03	Razor + unique peptides Adnp_IP04	Razor + unique peptides Adnp_IP05	Razor + unique peptides Adnp_IP06	Razor + unique peptides Chd4BF_IP07	Razor + unique peptides Chd4BF_IP08	Razor + unique peptides Chd4BF_IP09	Razor + unique peptides RBC_ctrl_IP01	Razor + unique peptides RBC_ctrl_IP02	Razor + unique peptides RBC_ctrl_IP03	Unique peptides Adnp_IP04	Unique peptides Adnp_IP05	Unique peptides Adnp_IP06	Unique peptides Chd4BF_IP07	Unique peptides Chd4BF_IP08	Unique peptides Chd4BF_IP09	Unique peptides RBC_ctrl_IP01	Unique peptides RBC_ctrl_IP02	Unique peptides RBC_ctrl_IP03	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type Adnp_IP04	Identification type Adnp_IP05	Identification type Adnp_IP06	Identification type Chd4BF_IP07	Identification type Chd4BF_IP08	Identification type Chd4BF_IP09	Identification type RBC_ctrl_IP01	Identification type RBC_ctrl_IP02	Identification type RBC_ctrl_IP03	Sequence coverage Adnp_IP04 [%]	Sequence coverage Adnp_IP05 [%]	Sequence coverage Adnp_IP06 [%]	Sequence coverage Chd4BF_IP07 [%]	Sequence coverage Chd4BF_IP08 [%]	Sequence coverage Chd4BF_IP09 [%]	Sequence coverage RBC_ctrl_IP01 [%]	Sequence coverage RBC_ctrl_IP02 [%]	Sequence coverage RBC_ctrl_IP03 [%]	Intensity	Intensity Adnp_IP04	Intensity Adnp_IP05	Intensity Adnp_IP06	Intensity Chd4BF_IP07	Intensity Chd4BF_IP08	Intensity Chd4BF_IP09	Intensity RBC_ctrl_IP01	Intensity RBC_ctrl_IP02	Intensity RBC_ctrl_IP03	iBAQ	iBAQ Adnp_IP04	iBAQ Adnp_IP05	iBAQ Adnp_IP06	iBAQ Chd4BF_IP07	iBAQ Chd4BF_IP08	iBAQ Chd4BF_IP09	iBAQ RBC_ctrl_IP01	iBAQ RBC_ctrl_IP02	iBAQ RBC_ctrl_IP03	LFQ intensity Adnp_IP04	LFQ intensity Adnp_IP05	LFQ intensity Adnp_IP06	LFQ intensity Chd4BF_IP07	LFQ intensity Chd4BF_IP08	LFQ intensity Chd4BF_IP09	LFQ intensity RBC_ctrl_IP01	LFQ intensity RBC_ctrl_IP02	LFQ intensity RBC_ctrl_IP03	MS/MS Count Adnp_IP04	MS/MS Count Adnp_IP05	MS/MS Count Adnp_IP06	MS/MS Count Chd4BF_IP07	MS/MS Count Chd4BF_IP08	MS/MS Count Chd4BF_IP09	MS/MS Count RBC_ctrl_IP01	MS/MS Count RBC_ctrl_IP02	MS/MS Count RBC_ctrl_IP03	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A023T672;Q9CWZ3-2;Q9CWZ3	A0A023T672;Q9CWZ3-2;Q9CWZ3	1;1;1	1;1;1	1;1;1	RNA-binding protein 8A	RBM8;Rbm8a	>tr|A0A023T672|A0A023T672_MOUSE RNA-binding protein 8A OS=Mus musculus GN=RBM8 PE=1 SV=1;>sp|Q9CWZ3-2|RBM8A_MOUSE Isoform 2 of RNA-binding protein 8A OS=Mus musculus GN=Rbm8a;>sp|Q9CWZ3|RBM8A_MOUSE RNA-binding protein 8A OS=Mus musculus GN=Rbm8a PE=1 SV=3	3	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	10.9	10.9	10.9	19.889	174	174;173;174	0	15.213	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	10.9	10.9	10.9	10.9	10.9	10.9	0	0	0	34384000	2375000	7076000	6119700	7058200	7492200	4262800	0	0	0	4298000	296880	884500	764970	882270	936530	532850	0	0	0	2564800	5584800	5290300	5882900	5025000	3470200	0	0	0	0	1	0	3	2	1	0	0	0	7				0	2965	True	3291	21752;21753;21754;21755;21756;21757	37130;37131;37132;37133;37134;37135;37136	37131		
A0A087WPL5;E9QNN1;O70133;O70133-2;O70133-3;Q3UR42	A0A087WPL5;E9QNN1;O70133;O70133-2;O70133-3;Q3UR42	13;13;11;11;9;7	13;13;11;11;9;7	13;13;11;11;9;7	ATP-dependent RNA helicase A	Dhx9	>tr|A0A087WPL5|A0A087WPL5_MOUSE ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=1;>tr|E9QNN1|E9QNN1_MOUSE ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=1;>sp|O70133|DHX9_MOUSE ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9	6	13	13	13	6	13	8	2	3	4	0	0	0	6	13	8	2	3	4	0	0	0	6	13	8	2	3	4	0	0	0	13.1	13.1	13.1	149.62	1383	1383;1384;1380;1381;1164;735	0	35.84	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	5.9	13.1	8.2	2	4.5	3.9	0	0	0	156100000	26038000	75767000	31406000	1890500	10992000	10006000	0	0	0	2477800	413300	1202600	498520	30009	174480	158820	0	0	0	21144000	61081000	27865000	3957100	9149700	8358300	0	0	0	1	19	2	1	0	2	0	0	0	25				1	13;191;192;559;1209;1380;2448;4433;4509;4627;4646;5134;5141	True;True;True;True;True;True;True;True;True;True;True;True;True	14;213;214;619;1342;1525;2693;4922;5008;5146;5168;5714;5722	33;34;35;36;37;38;1286;1287;1288;1289;1290;1291;1292;1293;3831;3832;3833;8439;10059;17793;33481;33889;33890;34819;34820;34821;34822;34823;34824;34950;34951;34952;38730;38731;38763;38764	68;69;70;2489;2490;2491;2492;2493;2494;6601;6602;6603;6604;14319;17168;30002;30003;57878;58633;60159;60160;60161;60351;67107;67170	68;2489;2493;6602;14319;17168;30003;57878;58633;60160;60351;67107;67170		
Q3UH28;Q3U1M7;A2A483;E9Q8D1;A2A482;A2A484;A2A485	Q3UH28;Q3U1M7;A2A483;E9Q8D1;A2A482;A2A484;A2A485	3;3;3;3;3;3;2	3;3;3;3;3;3;2	3;3;3;3;3;3;2		Zmynd8	>tr|Q3UH28|Q3UH28_MOUSE Protein Zmynd8 OS=Mus musculus GN=Zmynd8 PE=1 SV=1;>tr|Q3U1M7|Q3U1M7_MOUSE Protein Zmynd8 OS=Mus musculus GN=Zmynd8 PE=1 SV=1;>tr|A2A483|A2A483_MOUSE Protein Zmynd8 OS=Mus musculus GN=Zmynd8 PE=1 SV=1;>tr|E9Q8D1|E9Q8D1_MOUSE Protein	7	3	3	3	1	0	1	3	2	2	0	0	0	1	0	1	3	2	2	0	0	0	1	0	1	3	2	2	0	0	0	3.6	3.6	3.6	127.29	1154	1154;1174;1179;1199;1206;1235;1094	0	44.92	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	2	0	1.8	3.6	3.4	2	0	0	0	28924000	284960	0	443030	12690000	9167500	6338900	0	0	0	490240	4829.9	0	7508.9	215090	155380	107440	0	0	0	796290	0	717190	8746400	4850400	7056900	0	0	0	0	0	1	2	4	3	0	0	0	10				2	1020;4113;4114	True;True;True	1134;4574;4575	6794;6795;31234;31235;31236;31237;31238;31239;31240	11288;11289;11290;54025;54026;54027;54028;54029;54030;54031	11289;54026;54030		
A2A513;CON__P02535-1;P02535-3;P02535-2;P02535	A2A513;CON__P02535-1;P02535-3;P02535-2;P02535	14;14;14;14;14	1;1;1;1;1	1;1;1;1;1	Keratin, type I cytoskeletal 10	Krt10	>tr|A2A513|A2A513_MOUSE Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=3 SV=1;>P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10;>sp|P02535-3|K1C10_MOUSE Isoform 3 of Keratin, type I cytos	5	14	1	1	12	14	13	12	12	13	12	12	12	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	18.7	3.4	3.4	57.04	561	561;570;462;561;570	0.0027174	4.5113	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	15.3	18.7	15.3	15	15.3	15.3	13.7	15.3	17.1	29053000	0	1765900	0	0	0	0	0	0	27287000	1117400	0	67920	0	0	0	0	0	0	1049500	0	1366500	0	0	0	0	0	0	18877000	0	0	0	0	0	0	0	0	5	5			+	3	242;243;244;744;1497;1904;2327;2419;3471;3485;3486;3761;4858;4898	False;False;False;False;True;False;False;False;False;False;False;False;False;False	272;273;274;832;1651;2094;2561;2663;3869;3883;3884;4188;5412;5455;5456	1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;1583;1584;1585;1586;1587;1588;1589;1590;1591;1592;1593;1594;1595;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1612;1613;1614;1615;1616;1617;1618;1619;1620;1621;1622;5035;5036;5037;5038;5039;5040;5041;5042;5043;5044;5045;5046;5047;5048;5049;5050;5051;5052;10858;10859;10860;13802;13803;13804;13805;13806;13807;13808;16845;16846;16847;16848;16849;16850;16851;16852;16853;16854;16855;16856;16857;16858;16859;16860;16861;16862;17678;17679;17680;17681;17682;17683;17684;26063;26064;26065;26066;26067;26068;26069;26070;26071;26072;26073;26074;26075;26076;26077;26078;26079;26080;26081;26082;26151;26152;26153;26154;26155;26156;26157;26158;26159;26160;26161;26162;26163;26164;26165;26166;26167;26168;26169;26170;26171;26172;26173;26174;26175;26176;28404;28405;28406;28407;28408;28409;28410;28411;28412;36514;36515;36516;36517;36518;36519;36520;36521;36522;36523;36524;36746;36747;36748;36749;36750;36751;36752;36753;36754;36755;36756;36757;36758;36759;36760;36761;36762;36763;36764;36765;36766;36767;36768;36769;36770;36771;36772;36773	2851;2852;2853;2854;2855;2856;2857;2858;2859;2860;2861;2862;2863;2864;2865;2866;2867;2868;2869;2870;2871;2872;2873;2874;2875;2876;2877;2878;2879;2880;2881;2882;2883;2884;2885;2886;2887;2888;2889;2890;2891;2892;2893;2894;2895;2896;2897;2898;2899;2900;2901;2902;2903;2904;2905;2906;2907;2908;2909;2910;2911;2912;2913;2914;2915;2916;2917;2918;2919;2920;2921;2922;2923;2924;2925;2926;2927;2928;2929;2930;2931;2932;2933;2934;2935;2936;2937;2938;2939;2940;2941;2942;2943;2944;2945;2946;2947;2948;2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2960;2961;2962;2963;2964;2965;2966;2967;2968;2969;2970;2971;2972;2973;2974;2975;2976;2977;2978;2979;2980;2981;2982;2983;2984;2985;2986;2987;2988;2989;2990;2991;8450;8451;8452;8453;8454;8455;8456;8457;8458;8459;8460;8461;8462;8463;8464;8465;8466;18365;18366;18367;18368;18369;23285;28179;28180;28181;28182;28183;28184;28185;28186;28187;28188;28189;28190;28191;28192;28193;28194;28195;28196;28197;28198;28199;28200;28201;28202;28203;28204;28205;28206;28207;28208;28209;28210;28211;28212;28213;28214;28215;28216;28217;28218;28219;28220;28221;28222;28223;28224;29876;29877;29878;29879;29880;29881;29882;29883;29884;29885;29886;29887;29888;29889;29890;29891;29892;29893;29894;29895;29896;29897;29898;29899;29900;29901;29902;29903;29904;29905;44840;44841;44842;44843;44844;44845;44846;44847;44848;44849;44850;44851;44852;44853;44854;44855;44856;44857;44858;44859;44860;44861;44862;44863;44864;44865;44866;44867;44868;44869;44870;44952;44953;44954;44955;44956;44957;44958;44959;44960;44961;44962;44963;44964;44965;44966;44967;44968;44969;44970;44971;44972;44973;44974;44975;44976;44977;44978;44979;44980;44981;44982;44983;44984;44985;44986;44987;44988;44989;44990;44991;44992;44993;44994;44995;44996;44997;44998;44999;45000;45001;45002;45003;45004;45005;45006;45007;45008;45009;45010;45011;45012;45013;45014;45015;45016;45017;45018;45019;45020;45021;45022;45023;45024;45025;45026;45027;45028;45029;45030;45031;45032;45033;45034;45035;45036;45037;45038;45039;45040;45041;45042;45043;45044;45045;45046;45047;45048;45049;45050;45051;45052;45053;45054;45055;45056;45057;45058;45059;45060;48729;48730;48731;48732;48733;48734;48735;48736;48737;48738;48739;48740;48741;48742;48743;48744;48745;48746;48747;48748;48749;62994;62995;62996;62997;62998;62999;63000;63001;63002;63003;63382;63383;63384;63385;63386;63387;63388;63389;63390;63391;63392;63393;63394;63395;63396;63397;63398;63399;63400;63401;63402;63403;63404;63405;63406;63407;63408;63409;63410;63411;63412;63413;63414;63415;63416;63417;63418;63419;63420;63421;63422;63423;63424;63425;63426;63427;63428;63429;63430;63431;63432;63433;63434;63435;63436;63437;63438;63439;63440;63441;63442;63443;63444;63445;63446;63447;63448;63449;63450;63451;63452;63453;63454;63455;63456;63457;63458;63459;63460;63461;63462;63463;63464;63465	2879;2931;2951;8464;18368;23285;28223;29895;44850;44973;45003;48748;63003;63433	0	139
A2A791;A2A791-2;F6VYE2	A2A791;A2A791-2;F6VYE2	56;55;44	56;55;44	56;55;44	Zinc finger MYM-type protein 4	Zmym4	>sp|A2A791|ZMYM4_MOUSE Zinc finger MYM-type protein 4 OS=Mus musculus GN=Zmym4 PE=2 SV=1;>sp|A2A791-2|ZMYM4_MOUSE Isoform 2 of Zinc finger MYM-type protein 4 OS=Mus musculus GN=Zmym4;>tr|F6VYE2|F6VYE2_MOUSE Zinc finger MYM-type protein 4 (Fragment) OS=Mus 	3	56	56	56	11	14	30	6	55	3	0	0	0	11	14	30	6	55	3	0	0	0	11	14	30	6	55	3	0	0	0	48.7	48.7	48.7	172.44	1549	1549;1460;1209	0	323.31	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	11.8	13.3	31.4	5.4	48.6	2.6	0	0	0	2787500000	61360000	52533000	307320000	13182000	2345800000	7302100	0	0	0	39822000	876570	750470	4390400	188320	33512000	104320	0	0	0	59783000	40042000	223700000	10545000	1609000000	7649700	0	0	0	7	6	31	0	151	0	0	0	0	195				4	25;39;117;262;420;443;548;551;659;691;692;693;722;723;994;1094;1112;1278;1514;1596;1816;1833;1889;1890;1902;1903;1991;2102;2262;2263;2332;2377;2438;2530;2542;2943;3021;3025;3044;3343;3407;3468;3619;3708;3727;3743;3938;3988;3989;4072;4087;4195;4402;4734;4735;5170	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	27;42;134;292;472;496;607;611;734;769;770;771;805;806;1106;1217;1236;1417;1671;1758;1995;2012;2078;2079;2092;2093;2194;2318;2493;2494;2567;2614;2615;2682;2787;2799;3261;3367;3371;3391;3727;3799;3866;4031;4128;4149;4170;4381;4440;4441;4530;4546;4657;4888;5268;5269;5751	115;186;187;188;189;190;718;719;1713;1714;1715;1716;2792;2793;2794;2795;2796;2797;2798;2939;2940;2941;2942;2943;2944;3785;3802;4511;4655;4656;4657;4658;4659;4660;4661;4662;4899;4900;4901;6646;6647;6648;7448;7549;7550;9091;11003;11501;11502;11503;11504;11505;11506;11507;13136;13214;13215;13216;13217;13718;13719;13720;13721;13722;13796;13797;13798;13799;13800;13801;14479;15202;16275;16276;16277;16278;16279;16902;16903;16904;16905;16906;16907;17332;17333;17334;17335;17753;17754;17755;17756;18725;18934;21520;21521;21522;22771;22780;22781;22890;25267;25268;25702;25703;25704;25705;26052;27567;28064;28157;28158;28159;28303;28304;30208;30209;30210;30211;30550;30551;30552;30553;30554;31015;31086;31087;31803;31804;31805;31806;31807;33262;35626;35627;35628;35629;35630;35631;35632;35633;35634;35635;35636;35637;35638;35639;38940;38941	158;244;245;246;247;248;249;250;251;1291;1292;1293;3120;3121;3122;3123;3124;3125;3126;3127;3128;4786;4787;4788;4789;4790;4791;4792;4793;4794;5020;5021;5022;6551;6568;6569;7793;7993;7994;7995;7996;7997;7998;7999;8255;8256;8257;11035;11036;12612;12613;12754;12755;15229;18700;19391;19392;19393;19394;19395;19396;19397;19398;19399;19400;19401;19402;22335;22443;22444;22445;22446;22447;22448;22449;22450;22451;23180;23181;23182;23183;23184;23185;23186;23187;23188;23189;23190;23191;23276;23277;23278;23279;23280;23281;23282;23283;23284;24547;24548;25575;27299;27300;27301;27302;27303;27304;27305;27306;28262;28263;28264;28265;28266;28267;28268;28269;28270;28271;28272;29240;29241;29242;29243;29244;29974;29975;29976;29977;29978;31709;32031;32032;36599;36600;39092;39097;39098;39371;39372;43402;43403;44135;44136;44137;44832;44833;47439;47440;47441;48302;48303;48304;48445;48446;48447;48632;48633;48634;52285;52286;52287;52288;53004;53005;53006;53007;53008;53009;53010;53011;53012;53013;53014;53015;53016;53687;53688;53827;53828;54996;54997;57541;57542;57543;57544;61498;61499;61500;61501;61502;61503;61504;61505;61506;67467;67468	158;249;1292;3127;4793;5021;6551;6569;7793;7993;7995;7997;8255;8257;11035;12612;12755;15229;18700;19397;22335;22447;23180;23187;23279;23284;24548;25575;27304;27306;28269;29242;29978;31709;32031;36600;39092;39098;39371;43403;44136;44833;47440;48303;48445;48633;52286;53004;53014;53688;53828;54997;57542;61500;61505;67468		
A2A7F4;E9Q532;A2A7F3	A2A7F4;E9Q532	22;21;1	22;21;1	22;21;1		Rlf	>tr|A2A7F4|A2A7F4_MOUSE Insulin-like 3 OS=Mus musculus GN=Rlf PE=4 SV=1;>tr|E9Q532|E9Q532_MOUSE Insulin-like 3 OS=Mus musculus GN=Rlf PE=4 SV=1	3	22	22	22	7	4	15	0	22	1	0	0	0	7	4	15	0	22	1	0	0	0	7	4	15	0	22	1	0	0	0	15.5	15.5	15.5	217.39	1918	1918;1808;107	0	130.3	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	6.5	3.4	11.5	0	15.5	0.7	0	0	0	327030000	15004000	8808100	68428000	0	233290000	1502000	0	0	0	3940200	180780	106120	824440	0	2810700	18096	0	0	0	9601000	5937100	38426000	0	185820000	2288100	0	0	0	1	0	12	0	32	0	0	0	0	45				5	279;963;1602;1655;1936;1937;1999;2505;2547;3180;3412;3629;3893;3894;4027;4082;4237;4328;4351;4559;4598;4794	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	311;1071;1764;1817;2133;2134;2204;2759;2804;3545;3804;4041;4331;4332;4481;4541;4706;4809;4833;5069;5114;5339	1787;1788;6439;6440;11530;11531;11532;11844;11845;11846;14092;14093;14094;14095;14497;14498;14499;14500;18609;18610;18963;18964;18965;24043;25718;25719;25720;27674;27675;29849;29850;29851;30718;31074;32070;32071;32754;32755;32895;32896;34382;34383;34384;34385;34637;34638;34639;34640;36100;36101;36102	3232;3233;3234;10760;10761;19422;19950;19951;19952;19953;23783;23784;23785;24578;24579;31568;32070;32071;41196;44150;47728;51509;51510;51511;51512;53242;53809;55448;55449;55450;55451;56674;56675;56676;56677;56905;56906;59516;59517;59518;59519;59917;59918;59919;62383;62384	3234;10761;19422;19953;23784;23785;24578;31568;32070;41196;44150;47728;51510;51511;53242;53809;55450;56676;56905;59518;59918;62383		
A2A7I1;A2A799	A2A7I1;A2A799	4;3	2;1	1;0		Gm13145;2610305D13Rik	>tr|A2A7I1|A2A7I1_MOUSE Protein Gm13145 (Fragment) OS=Mus musculus GN=Gm13145 PE=4 SV=3;>tr|A2A799|A2A799_MOUSE Protein 2610305D13Rik OS=Mus musculus GN=2610305D13Rik PE=4 SV=1	2	4	2	1	1	2	1	1	4	1	1	1	1	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	16.4	8.3	5.7	39.148	336	336;407	0.0099256	3.5388	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	3.3	8.9	3.3	3.3	16.4	3.3	3.3	3.3	3.3	18312000	0	858930	0	0	17453000	0	0	0	0	1308000	0	61352	0	0	1246600	0	0	0	0	0	0	0	0	11476000	0	0	0	0	0	0	0	0	1	0	0	0	0	1				6	521;3119;3441;4910	False;True;False;True	578;3473;3833;5469	3605;3606;3607;3608;3609;3610;3611;3612;3613;3614;3615;3616;3617;3618;3619;3620;3621;23523;25864;36846;36847	6252;6253;6254;6255;6256;40439;44459;63567	6254;40439;44459;63567		
A2A7V0	A2A7V0	5	5	0		Zfp600	>tr|A2A7V0|A2A7V0_MOUSE Protein Zfp600 OS=Mus musculus GN=Zfp600 PE=4 SV=1	1	5	5	0	4	4	4	4	5	4	2	2	3	4	4	4	4	5	4	2	2	3	0	0	0	0	0	0	0	0	0	10.2	10.2	0	86.227	737	737	0	41.38	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	8	8	8	8	10.2	8	3.8	3.5	5.7	150700000	9814200	17093000	13409000	12319000	71458000	17312000	1601900	4905200	2788100	7176200	467350	813960	638510	586630	3402800	824380	76281	233580	132770	7987300	11012000	12612000	7356400	52983000	10882000	4595600	6654000	4026100	1	1	3	0	10	1	0	0	0	16				7	521;1508;1879;3244;3441	True;True;True;True;True	578;1665;2065;3621;3833	3605;3606;3607;3608;3609;3610;3611;3612;3613;3614;3615;3616;3617;3618;3619;3620;3621;10968;10969;10970;10971;10972;10973;10974;13540;13541;13542;13543;13544;13545;13546;13547;24459;24460;24461;24462;24463;24464;24465;24466;24467;24468;24469;24470;24471;25864	6252;6253;6254;6255;6256;18616;18617;22926;41949;41950;41951;41952;41953;41954;41955;41956;44459	6254;18616;22926;41953;44459		
A2ACZ1;Q9D903	A2ACZ1;Q9D903	2;2	2;2	2;2	Probable rRNA-processing protein EBP2	Ebna1bp2	>tr|A2ACZ1|A2ACZ1_MOUSE Probable rRNA-processing protein EBP2 (Fragment) OS=Mus musculus GN=Ebna1bp2 PE=4 SV=3;>sp|Q9D903|EBP2_MOUSE Probable rRNA-processing protein EBP2 OS=Mus musculus GN=Ebna1bp2 PE=2 SV=1	2	2	2	2	1	2	1	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	15	15	15	21.682	187	187;306	0.0052083	4.0685	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	9.6	15	9.6	0	9.6	0	0	0	0	19606000	4189300	7746200	2182700	0	5487600	0	0	0	0	1508100	322250	595860	167900	0	422120	0	0	0	0	4509100	5063200	2231400	0	4082100	0	0	0	0	0	2	2	0	0	0	0	0	0	4				8	1293;1547	True;True	1432;1705	9136;9137;9138;9139;11211	15288;15289;15290;18995	15288;18995		
A2AD25;P62911	A2AD25;P62911	2;2	2;2	2;2	60S ribosomal protein L32	Rpl32	>tr|A2AD25|A2AD25_MOUSE MCG49690 OS=Mus musculus GN=Gm4987 PE=4 SV=1;>sp|P62911|RL32_MOUSE 60S ribosomal protein L32 OS=Mus musculus GN=Rpl32 PE=1 SV=2	2	2	2	2	1	2	1	2	2	2	1	0	0	1	2	1	2	2	2	1	0	0	1	2	1	2	2	2	1	0	0	17	17	17	16.005	135	135;135	0	10.972	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	7.4	17	9.6	17	17	17	9.6	0	0	30712000	927350	8768300	1665700	6741600	8287100	3530100	792200	0	0	4387500	132480	1252600	237960	963080	1183900	504300	113170	0	0	1463100	5787300	2973500	3977000	3425400	4092100	2472700	0	0	0	4	0	0	1	2	0	0	0	7				9	904;4199	True;True	1007;4661	6088;6089;6090;6091;6092;31822;31823;31824;31825;31826;31827	10233;10234;10235;55023;55024;55025;55026	10234;55025		
